Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
111	 0.002801	 0.002697	 0.000046	 0.000000	 0.000031	0.333367	 0.318439	 0.006778	 0.000000	 0.004454
112	 0.003000	 0.002853	 0.000061	 0.000000	 0.000052	0.336367	 0.321292	 0.006839	 0.000000	 0.004506
113	 0.002996	 0.002878	 0.000049	 0.000000	 0.000031	0.339363	 0.324170	 0.006888	 0.000000	 0.004537
114	 0.003156	 0.002969	 0.000086	 0.000000	 0.000062	0.342519	 0.327139	 0.006974	 0.000000	 0.004599
115	 0.003091	 0.002959	 0.000057	 0.000000	 0.000038	0.345610	 0.330098	 0.007031	 0.000000	 0.004637
116	 0.002894	 0.002721	 0.000081	 0.000000	 0.000056	0.348504	 0.332819	 0.007112	 0.000000	 0.004693
117	 0.002792	 0.002698	 0.000035	 0.000000	 0.000031	0.351296	 0.335517	 0.007147	 0.000000	 0.004724
118	 0.002596	 0.002434	 0.000078	 0.000000	 0.000053	0.353892	 0.337951	 0.007225	 0.000000	 0.004777
119	 0.003193	 0.003044	 0.000090	 0.000000	 0.000031	0.357085	 0.340995	 0.007315	 0.000000	 0.004808
120	 0.002689	 0.002530	 0.000067	 0.000000	 0.000057	0.359774	 0.343525	 0.007382	 0.000000	 0.004865
121	 0.002874	 0.002732	 0.000083	 0.000000	 0.000031	0.362648	 0.346257	 0.007465	 0.000000	 0.004896
122	 0.002853	 0.002702	 0.000063	 0.000000	 0.000055	0.365501	 0.348959	 0.007528	 0.000000	 0.004951
123	 0.003561	 0.003471	 0.000032	 0.000000	 0.000029	0.369062	 0.352430	 0.007560	 0.000000	 0.004980
124	 0.003023	 0.002863	 0.000066	 0.000000	 0.000059	0.372085	 0.355293	 0.007626	 0.000000	 0.005039
125	 0.002795	 0.002706	 0.000032	 0.000000	 0.000029	0.374880	 0.357999	 0.007658	 0.000000	 0.005068
126	 0.002864	 0.002690	 0.000086	 0.000000	 0.000054	0.377744	 0.360689	 0.007744	 0.000000	 0.005122
127	 0.002686	 0.002578	 0.000048	 0.000000	 0.000033	0.380430	 0.363267	 0.007792	 0.000000	 0.005155
128	 0.002607	 0.002461	 0.000063	 0.000000	 0.000051	0.383037	 0.365728	 0.007855	 0.000000	 0.005206
129	 0.002645	 0.002548	 0.000044	 0.000000	 0.000029	0.385682	 0.368276	 0.007899	 0.000000	 0.005235
130	 0.002858	 0.002718	 0.000059	 0.000000	 0.000049	0.388540	 0.370994	 0.007958	 0.000000	 0.005284
131	 0.002821	 0.002732	 0.000031	 0.000000	 0.000030	0.391361	 0.373726	 0.007989	 0.000000	 0.005314
132	 0.003183	 0.002991	 0.000091	 0.000000	 0.000055	0.394544	 0.376717	 0.008080	 0.000000	 0.005369
133	 0.002825	 0.002706	 0.000045	 0.000000	 0.000041	0.397369	 0.379423	 0.008125	 0.000000	 0.005410
134	 0.002622	 0.002472	 0.000062	 0.000000	 0.000054	0.399991	 0.381895	 0.008187	 0.000000	 0.005464
135	 0.002659	 0.002572	 0.000032	 0.000000	 0.000031	0.402650	 0.384467	 0.008219	 0.000000	 0.005495
136	 0.002817	 0.002641	 0.000086	 0.000000	 0.000054	0.405467	 0.387108	 0.008305	 0.000000	 0.005549
137	 0.002776	 0.002684	 0.000033	 0.000000	 0.000030	0.408243	 0.389792	 0.008338	 0.000000	 0.005579
138	 0.003040	 0.002840	 0.000086	 0.000000	 0.000076	0.411283	 0.392632	 0.008424	 0.000000	 0.005655
139	 0.002745	 0.002640	 0.000049	 0.000000	 0.000030	0.414028	 0.395272	 0.008473	 0.000000	 0.005685
