Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
136	 0.002786	 0.002609	 0.000074	 0.000000	 0.000071	0.390888	 0.371026	 0.008734	 0.000000	 0.006240
137	 0.002784	 0.002675	 0.000048	 0.000000	 0.000034	0.393672	 0.373701	 0.008782	 0.000000	 0.006274
138	 0.002957	 0.002768	 0.000079	 0.000000	 0.000072	0.396629	 0.376469	 0.008861	 0.000000	 0.006346
139	 0.002715	 0.002588	 0.000057	 0.000000	 0.000040	0.399344	 0.379057	 0.008918	 0.000000	 0.006386
140	 0.003048	 0.002863	 0.000074	 0.000000	 0.000074	0.402392	 0.381920	 0.008992	 0.000000	 0.006460
141	 0.002773	 0.002652	 0.000050	 0.000000	 0.000040	0.405165	 0.384572	 0.009042	 0.000000	 0.006500
142	 0.002735	 0.002554	 0.000076	 0.000000	 0.000071	0.407900	 0.387126	 0.009118	 0.000000	 0.006571
143	 0.002609	 0.002498	 0.000050	 0.000000	 0.000035	0.410509	 0.389624	 0.009168	 0.000000	 0.006606
144	 0.002743	 0.002566	 0.000076	 0.000000	 0.000070	0.413252	 0.392190	 0.009244	 0.000000	 0.006676
145	 0.002610	 0.002502	 0.000048	 0.000000	 0.000034	0.415862	 0.394692	 0.009292	 0.000000	 0.006710
146	 0.002985	 0.002805	 0.000073	 0.000000	 0.000073	0.418847	 0.397497	 0.009365	 0.000000	 0.006783
147	 0.002469	 0.002360	 0.000045	 0.000000	 0.000035	0.421316	 0.399857	 0.009410	 0.000000	 0.006818
148	 0.002466	 0.002277	 0.000078	 0.000000	 0.000077	0.423782	 0.402134	 0.009488	 0.000000	 0.006895
149	 0.002632	 0.002519	 0.000048	 0.000000	 0.000036	0.426414	 0.404653	 0.009536	 0.000000	 0.006931
150	 0.002935	 0.002769	 0.000061	 0.000000	 0.000070	0.429349	 0.407422	 0.009597	 0.000000	 0.007001
151	 0.002686	 0.002576	 0.000047	 0.000000	 0.000035	0.432035	 0.409998	 0.009644	 0.000000	 0.007036
152	 0.002771	 0.002584	 0.000076	 0.000000	 0.000077	0.434806	 0.412582	 0.009720	 0.000000	 0.007113
153	 0.002738	 0.002627	 0.000048	 0.000000	 0.000036	0.437544	 0.415209	 0.009768	 0.000000	 0.007149
154	 0.002952	 0.002785	 0.000062	 0.000000	 0.000073	0.440496	 0.417994	 0.009830	 0.000000	 0.007222
155	 0.002646	 0.002531	 0.000045	 0.000000	 0.000041	0.443142	 0.420525	 0.009875	 0.000000	 0.007263
156	 0.002884	 0.002703	 0.000074	 0.000000	 0.000074	0.446026	 0.423228	 0.009949	 0.000000	 0.007337
157	 0.002683	 0.002573	 0.000044	 0.000000	 0.000040	0.448709	 0.425801	 0.009993	 0.000000	 0.007377
158	 0.002863	 0.002671	 0.000077	 0.000000	 0.000079	0.451572	 0.428472	 0.010070	 0.000000	 0.007456
159	 0.002694	 0.002549	 0.000061	 0.000000	 0.000047	0.454266	 0.431021	 0.010131	 0.000000	 0.007503
160	 0.002580	 0.002403	 0.000067	 0.000000	 0.000073	0.456846	 0.433424	 0.010198	 0.000000	 0.007576
161	 0.002809	 0.002640	 0.000080	 0.000000	 0.000056	0.459655	 0.436064	 0.010278	 0.000000	 0.007632
162	 0.002887	 0.002700	 0.000079	 0.000000	 0.000072	0.462542	 0.438764	 0.010357	 0.000000	 0.007704
163	 0.002663	 0.002555	 0.000045	 0.000000	 0.000036	0.465205	 0.441319	 0.010402	 0.000000	 0.007740
164	 0.002892	 0.002709	 0.000075	 0.000000	 0.000075	0.468097	 0.444028	 0.010477	 0.000000	 0.007815
165	 0.002892	 0.002783	 0.000044	 0.000000	 0.000037	0.470989	 0.446811	 0.010521	 0.000000	 0.007852
166	 0.002708	 0.002521	 0.000078	 0.000000	 0.000075	0.473697	 0.449332	 0.010599	 0.000000	 0.007927
167	 0.002825	 0.002719	 0.000044	 0.000000	 0.000036	0.476522	 0.452051	 0.010643	 0.000000	 0.007963
168	 0.002738	 0.002553	 0.000074	 0.000000	 0.000078	0.479260	 0.454604	 0.010717	 0.000000	 0.008041
169	 0.002541	 0.002434	 0.000044	 0.000000	 0.000036	0.481801	 0.457038	 0.010761	 0.000000	 0.008077
170	 0.002735	 0.002538	 0.000070	 0.000000	 0.000073	0.484536	 0.459576	 0.010831	 0.000000	 0.008150
171	 0.002830	 0.002719	 0.000046	 0.000000	 0.000037	0.487366	 0.462295	 0.010877	 0.000000	 0.008187
172	 0.002912	 0.002731	 0.000066	 0.000000	 0.000079	0.490278	 0.465026	 0.010943	 0.000000	 0.008266
173	 0.002708	 0.002599	 0.000045	 0.000000	 0.000037	0.492986	 0.467625	 0.010988	 0.000000	 0.008303
174	 0.002908	 0.002719	 0.000071	 0.000000	 0.000082	0.495894	 0.470344	 0.011059	 0.000000	 0.008385
175	 0.002636	 0.002529	 0.000043	 0.000000	 0.000035	0.498530	 0.472873	 0.011102	 0.000000	 0.008420
176	 0.002675	 0.002502	 0.000064	 0.000000	 0.000075	0.501205	 0.475375	 0.011166	 0.000000	 0.008495
177	 0.002749	 0.002626	 0.000046	 0.000000	 0.000049	0.503954	 0.478001	 0.011212	 0.000000	 0.008544
178	 0.002697	 0.002498	 0.000075	 0.000000	 0.000086	0.506651	 0.480499	 0.011287	 0.000000	 0.008630
179	 0.003146	 0.003002	 0.000054	 0.000000	 0.000055	0.509797	 0.483501	 0.011341	 0.000000	 0.008685
180	 0.003501	 0.003268	 0.000097	 0.000000	 0.000096	0.513298	 0.486769	 0.011438	 0.000000	 0.008781
181	 0.002696	 0.002547	 0.000063	 0.000000	 0.000047	0.515994	 0.489316	 0.011501	 0.000000	 0.008828
182	 0.002898	 0.002708	 0.000073	 0.000000	 0.000079	0.518892	 0.492024	 0.011574	 0.000000	 0.008907
183	 0.003045	 0.002923	 0.000053	 0.000000	 0.000040	0.521937	 0.494947	 0.011627	 0.000000	 0.008947
184	 0.002921	 0.002730	 0.000074	 0.000000	 0.000080	0.524858	 0.497677	 0.011701	 0.000000	 0.009027
185	 0.002697	 0.002586	 0.000044	 0.000000	 0.000038	0.527555	 0.500263	 0.011745	 0.000000	 0.009065
186	 0.002689	 0.002496	 0.000078	 0.000000	 0.000078	0.530244	 0.502759	 0.011823	 0.000000	 0.009143
187	 0.002743	 0.002622	 0.000050	 0.000000	 0.000042	0.532987	 0.505381	 0.011873	 0.000000	 0.009185
188	 0.002534	 0.002346	 0.000073	 0.000000	 0.000078	0.535521	 0.507727	 0.011946	 0.000000	 0.009263
189	 0.002983	 0.002869	 0.000047	 0.000000	 0.000038	0.538504	 0.510596	 0.011993	 0.000000	 0.009301
190	 0.002921	 0.002724	 0.000078	 0.000000	 0.000083	0.541425	 0.513320	 0.012071	 0.000000	 0.009384
191	 0.003024	 0.002896	 0.000053	 0.000000	 0.000042	0.544449	 0.516216	 0.012124	 0.000000	 0.009426
192	 0.002800	 0.002600	 0.000078	 0.000000	 0.000083	0.547249	 0.518816	 0.012202	 0.000000	 0.009509
193	 0.002724	 0.002610	 0.000046	 0.000000	 0.000040	0.549973	 0.521426	 0.012248	 0.000000	 0.009549
194	 0.002702	 0.002515	 0.000064	 0.000000	 0.000085	0.552675	 0.523941	 0.012312	 0.000000	 0.009634
195	 0.002842	 0.002730	 0.000046	 0.000000	 0.000038	0.555517	 0.526671	 0.012358	 0.000000	 0.009672
196	 0.002821	 0.002637	 0.000070	 0.000000	 0.000079	0.558338	 0.529308	 0.012428	 0.000000	 0.009751
197	 0.002679	 0.002560	 0.000046	 0.000000	 0.000044	0.561017	 0.531868	 0.012474	 0.000000	 0.009795
198	 0.002803	 0.002626	 0.000062	 0.000000	 0.000080	0.563820	 0.534494	 0.012536	 0.000000	 0.009875
199	 0.002969	 0.002842	 0.000042	 0.000000	 0.000051	0.566789	 0.537336	 0.012578	 0.000000	 0.009926
200	 0.002758	 0.002541	 0.000091	 0.000000	 0.000087	0.569547	 0.539877	 0.012669	 0.000000	 0.010013
201	 0.002708	 0.002599	 0.000044	 0.000000	 0.000039	0.572255	 0.542476	 0.012713	 0.000000	 0.010052
202	 0.003020	 0.002831	 0.000071	 0.000000	 0.000084	0.575275	 0.545307	 0.012784	 0.000000	 0.010136
203	 0.002870	 0.002760	 0.000042	 0.000000	 0.000040	0.578145	 0.548067	 0.012826	 0.000000	 0.010176
204	 0.003151	 0.002954	 0.000079	 0.000000	 0.000081	0.581296	 0.551021	 0.012905	 0.000000	 0.010257
205	 0.002829	 0.002709	 0.000047	 0.000000	 0.000044	0.584125	 0.553730	 0.012952	 0.000000	 0.010301
206	 0.002765	 0.002571	 0.000076	 0.000000	 0.000083	0.586890	 0.556301	 0.013028	 0.000000	 0.010384
207	 0.002789	 0.002675	 0.000048	 0.000000	 0.000039	0.589679	 0.558976	 0.013076	 0.000000	 0.010423
208	 0.002970	 0.002776	 0.000071	 0.000000	 0.000086	0.592649	 0.561752	 0.013147	 0.000000	 0.010509
209	 0.002837	 0.002712	 0.000055	 0.000000	 0.000042	0.595486	 0.564464	 0.013202	 0.000000	 0.010551
210	 0.002857	 0.002669	 0.000072	 0.000000	 0.000080	0.598343	 0.567133	 0.013274	 0.000000	 0.010631
211	 0.002751	 0.002638	 0.000044	 0.000000	 0.000040	0.601094	 0.569771	 0.013318	 0.000000	 0.010671
212	 0.002977	 0.002790	 0.000072	 0.000000	 0.000081	0.604071	 0.572561	 0.013390	 0.000000	 0.010752
213	 0.002774	 0.002658	 0.000045	 0.000000	 0.000044	0.606845	 0.575219	 0.013435	 0.000000	 0.010796
214	 0.002742	 0.002550	 0.000072	 0.000000	 0.000084	0.609587	 0.577769	 0.013507	 0.000000	 0.010880
215	 0.002459	 0.002346	 0.000046	 0.000000	 0.000040	0.612046	 0.580115	 0.013553	 0.000000	 0.010920
216	 0.002837	 0.002639	 0.000072	 0.000000	 0.000087	0.614883	 0.582754	 0.013625	 0.000000	 0.011007
217	 0.002597	 0.002487	 0.000044	 0.000000	 0.000038	0.617480	 0.585241	 0.013669	 0.000000	 0.011045
218	 0.002807	 0.002624	 0.000060	 0.000000	 0.000087	0.620287	 0.587865	 0.013729	 0.000000	 0.011132
219	 0.002616	 0.002500	 0.000046	 0.000000	 0.000042	0.622903	 0.590365	 0.013775	 0.000000	 0.011174
220	 0.002560	 0.002360	 0.000079	 0.000000	 0.000087	0.625463	 0.592725	 0.013854	 0.000000	 0.011261
221	 0.002565	 0.002445	 0.000050	 0.000000	 0.000041	0.628028	 0.595170	 0.013904	 0.000000	 0.011302
222	 0.002838	 0.002647	 0.000076	 0.000000	 0.000084	0.630866	 0.597817	 0.013980	 0.000000	 0.011386
223	 0.002978	 0.002865	 0.000048	 0.000000	 0.000040	0.633844	 0.600682	 0.014028	 0.000000	 0.011426
224	 0.002796	 0.002596	 0.000076	 0.000000	 0.000088	0.636640	 0.603278	 0.014104	 0.000000	 0.011514
